,nose_X,nose_Y,neck_X,neck_Y,right_shoulder_X,right_shoulder_Y,right_elbow_X,right_elbow_Y,right_wrist_X,right_wrist_Y,left_shoulder_X,left_shoulder_Y,left_elbow_X,left_elbow_Y,left_wrist_X,left_wrist_Y,right_hip_X,right_hip_Y,right_knee_X,right_knee_Y,right_ankle_X,right_ankle_Y,left_hip_X,left_hip_Y,left_knee_X,left_knee_Y,left_ankle_X,left_ankle_Y,right_eye_X,right_eye_Y,left_eye_X,left_eye_Y,right_ear_X,right_ear_Y,left_ear_X,left_ear_Y,Activity
46,671,210,667,251,630,250,628,157,635,72,704,250,715,161,711,88,636,421,641,531,631,662,699,421,691,535,689,664,658,199,681,198,640,205,696,202,Tada
47,674,211,671,250,633,251,630,156,639,76,709,250,720,162,715,85,638,418,641,530,630,663,701,420,693,534,689,662,662,200,685,199,645,205,699,202,Tada
48,672,209,670,249,633,251,629,158,637,78,708,246,716,160,712,87,636,417,639,531,629,663,699,419,691,534,688,668,661,199,683,199,645,205,696,206,Tada
49,672,211,668,250,632,252,627,160,633,78,706,249,716,161,709,83,636,419,639,532,630,666,699,420,692,534,689,669,660,201,682,201,644,206,695,206,Tada
50,779,217,776,253,739,254,732,190,750,125,813,253,824,191,811,129,742,415,739,526,732,634,801,418,795,531,793,635,769,209,790,209,755,218,802,218,Tada
51,776,217,771,254,733,253,740,182,754,114,808,258,805,179,805,121,737,415,734,525,731,637,795,417,793,528,794,640,765,209,786,209,749,216,797,217,Tada
52,781,218,775,251,739,250,743,183,755,118,811,252,811,184,808,124,741,414,736,526,730,636,800,417,796,530,794,640,770,209,791,210,754,216,802,216,Tada
53,781,218,776,253,740,256,742,182,755,112,814,253,814,182,810,120,742,414,735,527,729,637,800,418,797,530,795,641,770,210,790,210,755,218,801,216,Tada
54,786,220,782,257,745,258,748,182,763,114,819,257,822,181,820,117,745,414,741,522,735,628,803,418,792,528,786,628,776,212,797,212,762,218,808,219,Tada
55,703,229,702,268,661,265,653,202,660,123,743,270,748,188,735,120,676,428,679,543,684,654,733,428,726,547,711,656,693,219,714,220,679,220,728,221,Tada
56,707,224,705,263,663,260,652,200,659,121,747,266,750,190,735,111,678,419,679,536,680,651,735,419,727,540,715,655,696,213,717,214,682,214,730,215,Tada
57,701,225,701,262,660,260,651,194,658,116,742,264,747,195,731,112,675,421,678,539,683,653,731,420,726,541,714,655,691,215,711,215,677,217,726,217,Tada
58,708,227,706,264,664,261,652,202,661,118,747,268,750,186,736,115,679,423,682,540,684,651,735,424,725,544,711,652,697,217,718,217,682,219,731,218,Tada
59,698,227,697,265,658,263,648,198,653,122,739,265,743,194,725,107,675,428,679,543,683,653,730,427,722,546,710,652,689,218,709,218,674,220,723,218,Tada
