,nose_X,nose_Y,neck_X,neck_Y,right_shoulder_X,right_shoulder_Y,right_elbow_X,right_elbow_Y,right_wrist_X,right_wrist_Y,left_shoulder_X,left_shoulder_Y,left_elbow_X,left_elbow_Y,left_wrist_X,left_wrist_Y,right_hip_X,right_hip_Y,right_knee_X,right_knee_Y,right_ankle_X,right_ankle_Y,left_hip_X,left_hip_Y,left_knee_X,left_knee_Y,left_ankle_X,left_ankle_Y,right_eye_X,right_eye_Y,left_eye_X,left_eye_Y,right_ear_X,right_ear_Y,left_ear_X,left_ear_Y,Activity
10,698,259,699,308,662,306,637,361,682,347,737,310,759,363,710,349,653,421,590,473,663,525,705,438,688,540,668,626,690,251,707,251,680,258,719,257,Vriksh
11,693,259,695,307,659,307,633,363,680,348,732,307,756,360,706,348,653,422,589,472,664,525,705,437,689,539,668,626,685,251,701,251,675,258,712,257,Vriksh
12,693,259,694,307,659,306,632,361,679,347,731,307,755,359,705,347,652,422,588,472,664,525,704,437,688,540,669,625,684,252,701,251,674,258,712,257,Vriksh
13,691,259,693,307,657,306,628,360,673,346,730,307,751,360,702,347,650,421,585,472,662,524,702,436,686,540,668,626,683,251,700,251,673,258,712,257,Vriksh
14,691,258,693,307,657,306,627,359,674,347,730,307,753,360,702,347,650,421,586,472,662,525,702,437,686,540,668,625,682,251,699,251,672,258,711,256,Vriksh
15,687,277,687,332,642,329,619,386,672,348,732,334,753,389,697,346,640,454,576,527,653,577,701,471,677,579,662,680,677,269,697,269,662,278,710,277,Vriksh
16,692,274,689,332,643,330,617,390,671,352,733,335,753,392,696,351,638,457,574,528,651,578,700,474,676,580,662,680,682,264,703,267,667,274,715,278,Vriksh
17,682,275,687,333,641,331,616,389,667,353,731,334,752,389,694,348,638,456,573,528,651,578,699,473,676,580,662,680,672,267,692,266,659,278,707,276,Vriksh
18,672,278,686,332,641,332,615,389,665,352,730,333,751,387,691,346,639,456,574,526,650,578,700,473,676,581,662,680,663,270,683,269,655,280,703,278,Vriksh
19,691,283,692,334,648,329,618,385,673,351,737,338,754,394,700,349,640,456,575,526,651,579,701,474,676,581,662,680,682,272,703,274,670,277,716,280,Vriksh
20,689,241,687,297,644,295,620,359,670,329,729,299,749,368,699,327,643,417,558,463,645,486,698,430,687,534,661,637,680,234,697,235,669,243,710,244,Vriksh
21,683,241,683,297,640,296,615,361,664,331,726,297,746,367,693,327,641,417,555,459,638,486,696,432,687,538,660,637,674,234,692,234,663,243,704,243,Vriksh
22,684,242,685,297,641,296,617,361,666,331,728,298,747,367,695,328,641,416,555,459,637,490,696,432,687,540,660,637,676,234,693,234,664,243,706,242,Vriksh
23,691,241,688,296,645,293,618,357,670,329,730,299,749,368,699,328,643,415,558,461,648,496,698,431,688,544,661,637,683,234,701,235,672,243,713,245,Vriksh
24,687,244,686,296,643,295,619,359,671,330,728,298,751,365,700,328,643,416,559,465,651,497,698,431,687,543,661,638,679,236,696,237,667,243,709,244,Vriksh
25,737,179,729,241,676,239,642,315,704,285,784,242,802,325,741,288,673,373,589,413,689,483,742,404,722,515,696,624,725,169,748,170,706,180,760,180,Vriksh
26,734,183,727,241,673,241,643,319,706,288,781,241,800,326,742,290,671,375,587,420,688,483,740,403,724,514,696,623,722,172,745,174,701,182,756,184,Vriksh
27,727,184,723,242,669,242,640,320,702,289,778,242,797,326,738,290,669,377,585,422,686,483,739,403,722,514,696,622,715,174,738,174,696,185,752,184,Vriksh
28,738,184,732,243,678,243,650,322,714,290,785,241,806,326,750,293,676,376,594,421,693,482,746,403,728,510,697,620,725,174,748,174,706,185,761,184,Vriksh
29,736,180,727,243,674,239,639,314,700,288,781,246,795,330,737,292,666,371,582,406,674,490,735,400,716,518,694,624,724,170,747,172,705,181,760,185,Vriksh
30,783,262,779,308,738,307,704,367,761,356,820,309,855,376,798,356,740,432,685,502,750,559,802,442,772,543,754,667,773,254,791,254,759,262,803,261,Vriksh
31,783,261,779,308,738,307,704,368,761,356,820,309,853,377,798,356,739,433,686,504,749,558,801,441,772,544,754,667,773,253,791,253,759,262,803,260,Vriksh
32,780,261,777,309,736,308,702,369,759,357,818,309,852,377,796,356,737,433,684,504,746,557,800,441,771,544,753,665,771,254,789,253,757,263,801,260,Vriksh
33,780,260,777,309,735,308,702,370,758,358,818,309,851,377,795,357,736,432,683,501,747,557,798,440,770,547,754,664,770,253,788,252,757,262,800,260,Vriksh
34,786,256,781,307,739,306,707,368,762,355,823,309,851,379,801,356,740,431,690,501,747,557,802,440,771,546,754,667,776,248,794,248,762,259,805,258,Vriksh
35,699,248,696,304,656,301,632,370,678,338,737,307,753,376,703,338,652,420,577,467,656,522,702,438,684,538,669,635,691,239,709,240,679,244,722,246,Vriksh
36,697,249,694,304,654,301,631,370,678,336,735,306,752,376,702,338,650,421,575,468,656,521,700,439,684,538,668,636,689,240,706,241,677,245,719,246,Vriksh
37,699,249,696,305,656,301,635,371,680,338,738,308,754,377,704,339,652,423,574,464,656,520,701,442,685,539,668,636,691,240,708,241,679,244,722,245,Vriksh
38,705,246,701,304,661,299,637,369,685,336,741,307,757,377,709,340,654,421,576,462,658,521,704,441,686,538,671,634,696,238,714,239,685,244,727,246,Vriksh
39,704,248,699,305,658,300,636,369,683,336,739,309,754,378,706,339,653,422,574,464,657,520,704,441,686,538,671,634,695,239,713,240,683,244,725,248,Vriksh
40,794,182,790,249,740,250,708,338,772,319,840,250,868,338,807,321,750,388,709,453,779,502,812,400,791,524,770,653,782,174,803,174,765,188,812,184,Vriksh
41,788,185,792,250,742,250,709,337,774,319,843,251,868,341,807,322,751,389,704,456,781,506,813,402,792,523,767,653,778,176,798,176,767,188,816,187,Vriksh
42,800,182,796,250,746,249,712,335,776,318,847,251,872,340,812,321,753,389,709,458,784,507,815,403,792,525,769,654,789,174,809,174,772,186,820,184,Vriksh
43,798,183,795,250,745,250,710,335,777,319,846,252,871,341,810,322,752,390,708,457,782,506,814,404,793,525,769,655,787,175,808,175,771,188,820,185,Vriksh
44,805,182,798,250,748,249,713,334,781,318,849,251,875,342,814,322,753,390,713,459,784,507,816,403,792,526,768,654,793,173,814,174,776,186,825,186,Vriksh
45,693,233,695,291,641,289,621,364,678,323,748,293,763,369,707,320,646,426,551,465,654,522,709,452,688,559,666,666,683,224,704,223,668,233,719,232,Vriksh
46,699,233,699,292,645,289,624,364,680,323,752,294,765,370,711,320,648,427,553,465,656,522,711,452,689,560,667,664,688,224,709,224,674,233,723,234,Vriksh
47,700,234,701,292,647,289,626,366,681,324,754,294,767,371,712,321,651,427,554,464,657,522,712,453,689,562,667,666,689,224,710,223,674,234,726,232,Vriksh
48,700,234,700,292,646,290,626,366,682,324,753,294,767,372,713,321,651,427,554,465,657,522,712,452,689,560,667,666,689,224,710,224,674,233,724,234,Vriksh
49,695,233,696,292,642,291,623,367,677,325,749,293,765,369,708,322,648,428,552,466,656,523,710,452,690,560,666,666,684,224,705,223,668,232,719,231,Vriksh
50,787,248,785,296,736,296,705,353,775,355,833,296,873,347,807,356,753,426,729,496,778,531,809,437,789,551,766,666,777,239,796,239,761,244,808,243,Vriksh
51,790,248,788,296,739,295,707,353,776,356,836,297,873,351,809,357,754,426,729,499,780,531,811,436,790,551,766,665,780,239,798,239,764,244,811,241,Vriksh
52,791,249,788,298,739,296,707,354,777,356,836,298,873,353,810,358,755,426,728,498,780,531,812,438,791,553,766,667,781,240,799,239,765,244,812,243,Vriksh
53,799,248,795,297,746,293,713,350,782,355,843,300,877,358,812,357,756,425,730,497,780,529,813,438,791,549,770,663,790,239,809,239,775,242,822,241,Vriksh
54,788,250,785,298,737,297,707,354,774,356,833,299,870,355,805,357,753,427,727,497,778,529,810,437,790,551,769,664,778,241,797,240,762,245,809,244,Vriksh
