,"[0,2]","[2,4]","[4,6]","[0,8]","[8,10]","[10,12]","[0,14]","[14,16]","[16,18]","[0,20]","[20,22]","[22,24]",AC
43,1000,269,278,1000,1000,1000,236,191,176,236,191,176,"[0,0,0,0,0,1]"
44,1000,270,277,1000,1000,1000,236,190,177,236,190,177,"[0,0,0,0,0,1]"
45,1000,261,283,1000,1000,1000,240,190,178,240,190,178,"[0,0,0,0,0,1]"
46,1000,260,283,1000,1000,1000,240,191,177,240,191,177,"[0,0,0,0,0,1]"
47,1000,260,282,1000,1000,1000,241,190,177,241,190,177,"[0,0,0,0,0,1]"
48,1000,260,283,1000,1000,1000,240,190,178,240,190,178,"[0,0,0,0,0,1]"
49,1000,261,283,1000,1000,1000,242,189,178,242,189,178,"[0,0,0,0,0,1]"
50,1000,272,287,1000,1000,1000,231,187,173,231,187,173,"[0,0,0,0,0,1]"
51,1000,273,287,1000,1000,1000,230,188,173,230,188,173,"[0,0,0,0,0,1]"
52,1000,272,287,1000,1000,1000,229,188,173,229,188,173,"[0,0,0,0,0,1]"
53,1000,273,286,1000,1000,1000,229,188,173,229,188,173,"[0,0,0,0,0,1]"
54,1000,273,287,1000,1000,1000,230,188,174,230,188,174,"[0,0,0,0,0,1]"
55,1000,268,270,1000,1000,1000,244,177,188,244,177,188,"[0,0,0,0,0,1]"
56,1000,271,272,1000,1000,1000,244,177,190,244,177,190,"[0,0,0,0,0,1]"
57,1000,270,272,1000,1000,1000,244,177,188,244,177,188,"[0,0,0,0,0,1]"
58,1000,271,273,1000,1000,1000,245,185,181,245,185,181,"[0,0,0,0,0,1]"
59,1000,267,272,1000,1000,1000,242,177,189,242,177,189,"[0,0,0,0,0,1]"
60,1000,265,259,1000,1000,1000,235,177,181,235,177,181,"[0,0,0,0,0,1]"
61,1000,265,260,1000,1000,1000,234,177,181,234,177,181,"[0,0,0,0,0,1]"
62,1000,268,261,1000,1000,1000,224,186,179,224,186,179,"[0,0,0,0,0,1]"
63,1000,268,260,1000,1000,1000,224,186,178,224,186,178,"[0,0,0,0,0,1]"
64,1000,267,260,1000,1000,1000,226,184,179,226,184,179,"[0,0,0,0,0,1]"
